"COL0","COL1"
"59151297",
"59151298",25131.00
"59151299",24960.00
"59151300",19840.00
"59151302",15952.00
"59151304",23381.00
"59151305",22624.00
"59151307",20224.00
"59151308",24384.00
"59151309",25280.00
"59151310",31456.00
"59151311",31061.00
"59151312",31424.00
"59151313",28006.00
"59151314",24256.00
"59151315",28928.00
"59151316",24640.00
"59151317",30528.00
"59151318",25323.00
"59151319",21936.00
"59151320",25504.00
"59151321",18645.00
"59151322",19648.00
"59151323",23168.00
"59151324",26816.00
"59151325",21696.00
"59151326",25344.00
"59151327",24256.00
"59151328",23616.00
"59151329",18347.00
"59151332",19472.00
"59151336",23328.00
"59151338",23840.00
"59151339",21696.00
"59151340",22707.00
"59151341",20160.00
"59151342",18624.00
"59151343",17872.00
"59151345",29696.00
"59151346",22037.00
"59151347",26458.00
"59151348",30592.00
"59151349",32896.00
"59151350",28000.00
"59151351",29952.00
"59151352",26795.00
"59151353",24128.00
"59151354",21856.00
"59151355",28838.00
"59151356",23936.00
"59151357",25920.00
"59151358",23104.00
"59151359",26688.00
"59151360",22592.00
"59151361",22677.00
"59151362",26016.00
"59151363",25824.00
"59151364",22656.00
"59151365",23840.00
"59151366",25536.00
"59151367",28288.00
"59151368",24960.00
"59151369",27093.00
"59151370",25664.00
"59151371",28864.00
"59151372",28736.00
"59151373",28224.00
"59151374",34688.00
"59151375",37632.00
"59151376",36544.00
"59151377",23296.00
"59151378",40320.00
"59151379",22912.00
"59151380",30944.00
"59151381",32064.00
"59151382",26432.00
"59151383",28320.00
"59151384",27392.00
"59151385",27157.00
"59151386",27584.00
"59151387",25152.00
"59151388",31424.00
"59151389",21440.00
"59151390",36147.00
"59151391",49067.00
"59151392",51541.00
"59151393",32576.00
"59151394",30656.00
"59151395",33472.00
"59151396",26688.00
"59151397",27712.00
"59151399",37973.00
"59151400",26432.00
"59151401",34859.00
"59151404",32768.00
"59151405",38741.00
"59151406",38963.00
"59151407",23296.00
"59151408",17254.00
"59151409",20592.00
"59151410",22880.00
"59151411",25840.00
"59151412",26304.00
"59151413",24832.00
"59151414",22624.00
"59151415",24416.00
"59151416",24512.00
"59151417",23040.00
"59151418",21920.00
"59151419",26688.00
"59151420",28557.00
"59151423",23008.00
"59151424",26368.00
"59151425",21408.00
"59151426",30784.00
"59151427",31792.00
"59151428",35648.00
"59151429",41344.00
"59151430",35648.00
"59151432",25216.00
"59151433",34752.00
"59151434",33600.00
"59151435",36384.00
"59151436",35072.00
"59151437",37803.00
"59151438",26528.00
"59151439",30080.00
"59151440",31936.00
"59151441",24576.00
"59151442",23840.00
"59151443",24768.00
"59151444",25984.00
"59151445",26464.00
"59151446",29280.00
"59151448",22784.00
"59151449",25429.00
"59151450",24160.00
"59151451",23424.00
"59151452",31872.00
"59151453",26432.00
"59151454",22944.00
"59151455",22944.00
"59151456",23808.00
"59151457",22443.00
"59151458",24128.00
"59151459",24789.00
"59151460",23488.00
"59151461",23680.00
"59151463",23680.00
"59151464",24875.00
"59151465",24896.00
"59151467",27328.00
"59151469",21120.00
"59151470",23808.00
"59151471",21312.00
"59151472",20480.00
"59151473",25856.00
"59151474",23829.00
"59151475",26176.00
"59151476",27520.00
"59151477",29056.00
"59151478",24960.00
"59151479",21344.00
"59151480",23872.00
"59151481",22400.00
"59151482",24768.00
"59151483",25792.00
"59151484",21248.00
"59151485",25280.00
"59151486",18944.00
"59151487",30720.00
"59151488",28672.00
"59151489",31424.00
"59151490",28480.00
"59151491",31040.00
"59151492",29376.00
"59151493",29536.00
"59151494",41045.00
"59151495",34176.00
"59151496",37120.00
"59151497",37696.00
"59151498",34368.00
"59151499",35456.00
"59151507",40288.00
"59151508",45739.00
"59151509",33760.00
"59151520",23744.00
"59151521",26688.00
"59151522",40704.00
"59151523",29440.00
"59151524",25024.00
"59151525",24512.00
"59151526",32896.00
"59151527",29440.00
"59151528",30571.00
"59151529",35456.00
"59151530",29088.00
"59151531",30464.00
"59151532",29696.00
"59151533",29269.00
"59151534",32480.00
"59151535",29952.00
"59151536",36181.00
"59151537",35584.00
"59151538",37120.00
"59151539",34880.00
"59151540",32128.00
"59151541",34176.00
"59151542",32021.00
"59151543",23648.00
"59151544",24944.00
"59151545",29504.00
"59151547",29984.00
"59151553",30144.00
"59151554",30208.00
"59151555",36480.00
"59151556",34112.00
"59151557",30400.00
"59151558",31552.00
"59151559",29419.00
"59151560",28224.00
"59151561",42752.00
"59151562",28352.00
"59151563",18112.00
"59151564",23616.00
"59151565",22784.00
"59151566",26560.00
"59151567",34304.00
"59151568",35627.00
"59151569",33408.00
"59151570",34731.00
"59151571",30464.00
"59151572",
"59151573",29568.00
"59151574",39232.00
"59151575",35520.00
"59151576",40192.00
"59151577",37094.00
"59151578",33664.00
"59151579",35797.00
"59151580",46208.00
"59151581",38912.00
"59151582",35456.00
"59151583",35328.00
"59151584",36096.00
"59151585",33237.00
"59151586",37973.00
"59151587",35712.00
"59151588",33152.00
"59151589",38592.00
"59151590",35456.00
"59151591",41344.00
"59151592",38144.00
"59151593",41344.00
"59151594",37077.00
"59151595",41856.00
"59151597",38464.00
"59151598",51200.00
"59151599",48896.00
"59151600",47445.00
"59151601",27168.00
"59151602",48811.00
"59151603",25888.00
"59151605",44928.00
"59151606",41280.00
"59151607",39040.00
"59151608",43648.00
"59151609",36576.00
"59151610",27712.00
"59151611",38144.00
"59151612",34944.00
"59151613",41984.00
"59151614",39936.00
"59151616",47104.00
"59151617",39808.00
"59151618",43648.00
"59151619",38400.00
"59151620",44032.00
"59151621",48000.00
"59151622",48896.00
"59151624",
"59151625",46720.00
"59151626",44416.00
"59151634",39360.00
"59151635",40576.00
"59151636",33920.00
"59151637",32512.00
"59151638",27456.00
"59151639",30272.00
"59151640",28480.00
"59151641",26240.00
"59151642",22656.00
"59151643",27328.00
"59151644",21440.00
